round,match_id,home_team,away_team,score_final_dom,score_final_ext,nb_buts_total,nb_buts_dom,nb_buts_ext,victoire,cycle
29,73349176,Angola,Zimbabwe,1,1,2,1,1,nul,1
29,73349185,Benin,Zambia,1,1,2,1,1,nul,1
29,73349184,Botswana,Ivory Coast,0,0,0,0,0,nul,1
29,73349186,Burkina Faso,South Africa,0,2,2,0,2,ext,1
29,73349178,Comoros,Tunisia,0,0,0,0,0,nul,1
29,73349181,DR Congo,Algeria,0,1,1,0,1,ext,1
29,73349183,Egypt,Senegal,1,1,2,1,1,nul,1
29,73349182,Equatorial Guinea,Cameroon,0,0,0,0,0,nul,1
29,73349175,Gabon,Uganda,2,1,3,2,1,dom,1
29,73349177,Morocco,Mali,1,0,1,1,0,dom,1
29,73349180,Mozambique,Sudan,1,0,1,1,0,dom,1
29,73349179,Tanzania,Nigeria,0,1,1,0,1,ext,1
30,73349194,Algeria,Tanzania,1,1,2,1,1,nul,1
30,73349188,Cameroon,DR Congo,0,0,0,0,0,nul,1
30,73349191,Comoros,Equatorial Guinea,0,1,1,0,1,ext,1
30,73349197,Ivory Coast,Sudan,0,0,0,0,0,nul,1
30,73349193,Mali,Mozambique,1,1,2,1,1,nul,1
30,73349189,Nigeria,Burkina Faso,4,0,4,4,0,dom,1
30,73349187,Senegal,Benin,0,0,0,0,0,nul,1
30,73349195,South Africa,Botswana,0,2,2,0,2,ext,1
30,73349192,Tunisia,Egypt,0,0,0,0,0,nul,1
30,73349198,Uganda,Angola,0,0,0,0,0,nul,1
30,73349196,Zambia,Gabon,0,0,0,0,0,nul,1
30,73349190,Zimbabwe,Morocco,1,1,2,1,1,nul,1
31,73349205,Angola,Zambia,3,0,3,3,0,dom,1
31,73349201,Benin,Tunisia,4,2,6,4,2,dom,1
31,73349207,Botswana,Nigeria,0,4,4,0,4,ext,1
31,73349204,Burkina Faso,Algeria,2,3,5,2,3,ext,1
31,73349200,DR Congo,Comoros,1,2,3,1,2,ext,1
31,73349210,Egypt,Equatorial Guinea,4,0,4,4,0,dom,1
31,73349203,Gabon,Senegal,0,0,0,0,0,nul,1
31,73349208,Mali,Zimbabwe,2,0,2,2,0,dom,1
31,73349206,Morocco,Uganda,3,0,3,3,0,dom,1
31,73349209,Mozambique,Ivory Coast,0,0,0,0,0,nul,1
31,73349202,Sudan,South Africa,2,2,4,2,2,nul,1
31,73349199,Tanzania,Cameroon,2,0,2,2,0,dom,1
32,73349218,Algeria,Botswana,4,1,5,4,1,dom,1
32,73349219,Cameroon,Burkina Faso,4,0,4,4,0,dom,1
32,73349213,Comoros,Tanzania,0,1,1,0,1,ext,1
32,73349214,Egypt,DR Congo,1,1,2,1,1,nul,1
32,73349222,Equatorial Guinea,Benin,0,0,0,0,0,nul,1
32,73349221,Nigeria,Sudan,1,0,1,1,0,dom,1
32,73349215,Senegal,Angola,3,0,3,3,0,dom,1
32,73349216,South Africa,Ivory Coast,4,0,4,4,0,dom,1
32,73349212,Tunisia,Gabon,1,0,1,1,0,dom,1
32,73349217,Uganda,Mali,1,1,2,1,1,nul,1
32,73349220,Zambia,Morocco,1,1,2,1,1,nul,1
32,73349211,Zimbabwe,Mozambique,0,1,1,0,1,ext,1
33,73349224,Angola,Tunisia,0,0,0,0,0,nul,1
33,73349232,Benin,DR Congo,0,1,1,0,1,ext,1
33,73349223,Botswana,Cameroon,1,1,2,1,1,nul,1
33,73349230,Burkina Faso,Comoros,2,1,3,2,1,dom,1
33,73349228,Gabon,Equatorial Guinea,0,2,2,0,2,ext,1
33,73349227,Ivory Coast,Nigeria,2,2,4,2,2,nul,1
33,73349229,Mali,Zambia,2,0,2,2,0,dom,1
33,73349233,Morocco,Senegal,3,0,3,3,0,dom,1
33,73349226,Mozambique,South Africa,0,1,1,0,1,ext,1
33,73349225,Sudan,Algeria,0,0,0,0,0,nul,1
33,73349231,Tanzania,Egypt,0,0,0,0,0,nul,1
33,73349234,Zimbabwe,Uganda,0,0,0,0,0,nul,1
34,73349245,Algeria,Ivory Coast,3,0,3,3,0,dom,1
34,73349239,Benin,Tanzania,0,0,0,0,0,nul,1
34,73349241,Cameroon,Sudan,4,0,4,4,0,dom,1
34,73349236,Comoros,Botswana,0,0,0,0,0,nul,1
34,73349238,DR Congo,Gabon,2,0,2,2,0,dom,1
34,73349237,Egypt,Burkina Faso,4,0,4,4,0,dom,1
34,73349243,Equatorial Guinea,Angola,1,1,2,1,1,nul,1
34,73349244,Nigeria,South Africa,1,2,3,1,2,ext,1
34,73349240,Senegal,Mali,1,0,1,1,0,dom,1
34,73349235,Tunisia,Morocco,1,0,1,1,0,dom,1
34,73349246,Uganda,Mozambique,0,1,1,0,1,ext,1
34,73349242,Zambia,Zimbabwe,0,0,0,0,0,nul,1
